Date,Murban,Ice Brent,Oman,Dubai,Nymex WTI
09 Mar 2021,65.800,68.02,66.420,66.250,64.800
08 Mar 2021,67.700,70.04,68.350,68.220,66.730
05 Mar 2021,65.870,67.64,66.410,66.390,64.580
04 Mar 2021,62.820,64.52,63.040,63.110,61.670
03 Mar 2021,61.180,62.85,61.360,61.350,59.900
02 Mar 2021,61.040,62.89,61.450,61.380,59.920
01 Mar 2021,63.680,65.59,64.230,64.040,62.610
26 Feb 2021,64.680,66.35,64.090,64.140,62.950
25 Feb 2021,65.880,67.67,64.880,65.300,63.740
24 Feb 2021,63.560,65.36,63.330,63.080,61.480
23 Feb 2021,64.120,66.33,63.070,63.780,62.620
22 Feb 2021,61.540,63.39,61.360,61.210,59.560
19 Feb 2021,61.000,62.60,60.690,60.890,59.010
18 Feb 2021,63.190,64.94,63.580,63.270,61.600
17 Feb 2021,62.780,63.83,63.030,62.850,60.390
16 Feb 2021,62.210,63.18,62.440,62.260,59.840
15 Feb 2021,62.410,63.44,62.540,62.320,60.720
12 Feb 2021,,60.58,,,#N/A
11 Feb 2021,60.540,61.22,60.390,60.500,58.430
10 Feb 2021,60.380,61.15,60.450,60.320,58.320
09 Feb 2021,60.470,60.98,60.500,60.430,58.320
08 Feb 2021,59.720,60.12,59.740,59.720,57.550
05 Feb 2021,58.870,59.37,58.960,58.820,56.690
04 Feb 2021,58.390,58.91,58.430,58.310,56.150
03 Feb 2021,57.580,58.00,57.720,57.470,55.140
02 Feb 2021,56.730,57.17,56.890,56.520,54.350
01 Feb 2021,55.210,55.62,55.100,54.970,52.630
29 Jan 2021,55.040,55.55,54.630,54.700,52.190
28 Jan 2021,55.090,55.47,54.410,54.710,52.470
27 Jan 2021,55.980,56.40,55.770,55.830,53.060
26 Jan 2021,55.440,55.70,55.300,55.260,52.570
25 Jan 2021,55.610,55.68,55.400,55.410,52.580
22 Jan 2021,55.360,55.33,55.140,55.040,52.310
21 Jan 2021,55.670,55.74,55.560,55.410,52.970
20 Jan 2021,56.460,56.48,56.230,56.160,53.560
19 Jan 2021,55.350,55.29,55.060,55.010,52.500
18 Jan 2021,54.350,54.58,54.200,54.140,51.920
15 Jan 2021,55.490,55.73,55.380,55.330,53.100
14 Jan 2021,55.820,56.22,55.690,55.690,53.120
13 Jan 2021,56.590,56.95,56.420,56.440,53.520
12 Jan 2021,55.690,55.99,55.720,55.650,52.590
11 Jan 2021,55.320,55.53,55.240,55.220,51.990
08 Jan 2021,54.460,54.76,54.580,54.500,51.120
07 Jan 2021,54.280,54.73,54.460,54.400,51.110
06 Jan 2021,53.390,53.89,53.520,53.490,49.960
05 Jan 2021,50.670,50.91,50.540,50.310,47.510
04 Jan 2021,52.610,53.02,52.550,52.440,49.530
31 Dec 2020,51.040,51.62,51.060,51.140,48.320
30 Dec 2020,50.960,51.38,51.070,51.020,48.280
29 Dec 2020,50.890,51.45,51.100,50.890,48.150
28 Dec 2020,50.920,51.41,51.220,50.960,48.390
24 Dec 2020,51.200,51.66,51.410,51.490,48.480
23 Dec 2020,49.470,49.91,49.770,49.770,46.830
22 Dec 2020,49.600,50.06,49.900,49.900,47.100
21 Dec 2020,50.060,50.63,50.400,50.530,47.560
18 Dec 2020,50.780,51.42,51.230,51.250,48.340
17 Dec 2020,51.180,51.75,51.610,51.560,48.430
16 Dec 2020,50.570,50.84,50.960,50.840,47.700
15 Dec 2020,49.780,50.05,50.300,50.060,46.820
14 Dec 2020,50.260,50.69,50.700,50.460,47.210
11 Dec 2020,50.030,50.48,50.570,50.210,47.010
10 Dec 2020,48.660,49.15,49.160,48.770,45.790
09 Dec 2020,48.930,49.39,49.380,49.060,46.090
08 Dec 2020,48.160,48.55,48.570,48.090,45.550
07 Dec 2020,47.500,48.68,48.620,48.180,45.610
04 Dec 2020,48.150,49.66,49.410,48.850,46.470
03 Dec 2020,47.100,48.37,48.330,47.780,45.310
02 Dec 2020,46.360,47.45,47.330,46.910,44.490
01 Dec 2020,46.870,47.82,47.860,47.340,45.290
30 Nov 2020,46.730,47.30,47.850,46.890,44.800
27 Nov 2020,46.860,47.56,48.300,47.250,44.780
26 Nov 2020,47.060,47.86,47.890,47.500,45.000
25 Nov 2020,47.370,48.32,48.230,47.610,45.250
24 Nov 2020,45.570,46.41,46.080,45.930,43.450
23 Nov 2020,45.270,45.96,45.800,45.620,43.250
20 Nov 2020,43.900,44.28,44.510,44.180,41.700
19 Nov 2020,43.760,44.30,44.370,44.130,41.640
18 Nov 2020,43.480,43.97,44.130,43.800,41.510
17 Nov 2020,43.420,43.96,44.170,43.950,41.380
16 Nov 2020,43.280,43.77,44.090,43.780,41.190
13 Nov 2020,42.700,43.13,43.490,42.930,40.610
12 Nov 2020,43.640,43.98,44.280,43.940,41.610
11 Nov 2020,43.990,44.62,44.870,44.320,42.380
10 Nov 2020,42.200,42.74,42.890,42.450,40.550
09 Nov 2020,39.870,40.29,40.670,40.050,37.950
06 Nov 2020,40.110,40.52,40.940,40.330,38.350
05 Nov 2020,40.460,40.99,41.210,40.460,38.870
04 Nov 2020,39.580,39.89,40.130,39.550,37.790
03 Nov 2020,39.300,39.64,39.820,39.230,37.530
02 Nov 2020,36.300,36.59,36.670,36.080,34.280
30 Oct 2020,37.690,37.63,37.650,37.170,36.200
29 Oct 2020,38.740,38.84,38.550,38.210,37.150
28 Oct 2020,39.790,39.99,39.770,39.340,38.130
27 Oct 2020,40.240,40.66,40.620,39.900,38.740
26 Oct 2020,40.150,40.53,40.430,39.770,38.590
23 Oct 2020,41.910,42.45,42.330,41.620,40.580
22 Oct 2020,41.590,42.08,41.920,41.280,40.350
21 Oct 2020,41.960,42.53,42.150,41.660,41.110
20 Oct 2020,41.970,42.44,42.000,41.680,40.730
19 Oct 2020,42.180,42.74,42.220,41.900,40.720
16 Oct 2020,42.270,42.84,42.250,41.930,40.720
15 Oct 2020,42.430,42.90,42.280,42.080,40.640
14 Oct 2020,41.980,42.35,41.970,41.580,40.080
13 Oct 2020,41.720,41.99,41.540,41.100,39.710
12 Oct 2020,41.890,42.23,41.690,41.320,39.990
09 Oct 2020,42.510,43.19,42.560,42.210,41.030
08 Oct 2020,41.820,42.37,41.910,41.460,40.260
07 Oct 2020,41.450,42.00,41.620,41.220,39.880
06 Oct 2020,40.910,41.38,40.870,40.660,39.270
05 Oct 2020,39.700,40.17,39.670,39.410,38.030
02 Oct 2020,39.050,39.69,39.050,38.700,37.580
01 Oct 2020,41.340,41.95,41.360,41.280,39.830
30 Sep 2020,40.530,40.83,40.420,40.470,39.180
29 Sep 2020,41.910,42.23,41.780,41.810,40.350
28 Sep 2020,41.440,41.64,41.390,41.480,39.930
25 Sep 2020,41.980,42.08,42.250,41.980,40.390
24 Sep 2020,41.170,41.40,41.190,41.100,39.560
23 Sep 2020,41.370,41.64,41.360,41.100,39.670
22 Sep 2020,41.400,41.64,41.270,41.220,39.560
21 Sep 2020,41.940,42.19,41.800,41.750,40.090
18 Sep 2020,43.170,43.49,42.990,43.070,41.120
17 Sep 2020,41.880,42.13,41.730,41.620,40.040
16 Sep 2020,41.260,41.56,41.290,41.050,39.360
15 Sep 2020,39.320,39.63,39.280,38.990,37.280
14 Sep 2020,39.110,39.59,39.040,38.820,37.110
11 Sep 2020,39.350,39.97,39.340,39.140,37.300
10 Sep 2020,39.860,40.54,39.860,39.510,37.730
09 Sep 2020,39.590,40.22,39.600,39.280,37.310
08 Sep 2020,40.840,41.42,40.810,40.670,38.430
07 Sep 2020,42.810,42.02,41.570,41.410,39.220
04 Sep 2020,45.000,44.25,43.920,43.800,41.620
03 Sep 2020,44.630,43.95,43.570,43.330,41.170
02 Sep 2020,46.510,45.96,45.430,45.220,43.130
01 Sep 2020,46.250,45.80,45.310,45.050,43.100
31 Aug 2020,46.670,46.47,45.740,45.520,43.450
28 Aug 2020,45.370,44.88,44.460,44.110,42.840
27 Aug 2020,46.210,45.78,45.070,44.970,43.360
26 Aug 2020,46.100,45.86,45.350,44.730,43.270
25 Aug 2020,45.710,45.34,44.940,44.320,42.610
24 Aug 2020,45.170,44.66,44.420,43.910,42.640
21 Aug 2020,45.230,44.73,44.670,43.910,42.610
20 Aug 2020,44.850,44.95,44.490,43.900,42.500
19 Aug 2020,44.850,44.93,44.310,43.870,42.430
18 Aug 2020,45.300,45.47,44.850,44.270,42.920
17 Aug 2020,44.700,44.95,44.120,43.500,42.190
14 Aug 2020,44.970,44.72,43.740,43.120,42.010
13 Aug 2020,45.730,45.47,44.450,44.060,42.710
12 Aug 2020,45.200,44.87,43.960,43.630,41.980
11 Aug 2020,45.540,45.32,44.250,44.120,42.370
10 Aug 2020,,44.84,,,#N/A
07 Aug 2020,45.960,44.77,44.010,43.680,41.610
06 Aug 2020,46.050,44.97,43.970,43.580,41.740
05 Aug 2020,45.990,44.74,44.000,43.580,42.000
04 Aug 2020,45.030,43.71,43.140,42.740,40.590
03 Aug 2020,44.660,43.21,42.850,42.490,39.890
31 Jul 2020,,43.19,,,#N/A
30 Jul 2020,43.900,43.34,42.910,42.970,40.830
29 Jul 2020,44.200,43.70,43.350,43.230,41.420
28 Jul 2020,44.060,43.41,43.280,43.280,41.400
27 Jul 2020,43.790,43.22,43.260,43.240,41.180
24 Jul 2020,43.600,43.35,43.560,43.110,41.150
23 Jul 2020,45.150,44.63,44.980,44.500,42.200
22 Jul 2020,44.630,44.00,44.660,44.210,41.530
21 Jul 2020,44.250,43.82,44.380,43.620,41.260
20 Jul 2020,43.170,42.85,43.090,42.470,40.300
17 Jul 2020,43.520,43.09,43.270,42.750,40.510
16 Jul 2020,43.950,43.47,43.880,43.300,40.760
15 Jul 2020,44.290,43.49,44.320,44.020,40.880
14 Jul 2020,43.000,42.18,43.090,42.590,39.470
13 Jul 2020,43.940,42.79,43.750,43.140,40.050
10 Jul 2020,,41.74,,,#N/A
09 Jul 2020,44.190,43.22,44.050,43.500,40.750
08 Jul 2020,43.970,43.05,43.800,43.160,40.520
07 Jul 2020,42.820,42.66,43.450,42.710,40.140
06 Jul 2020,43.600,43.59,44.260,43.360,40.970
03 Jul 2020,42.730,42.70,43.300,42.630,40.200
02 Jul 2020,42.530,42.41,43.460,42.520,40.200
01 Jul 2020,42.480,42.28,43.510,42.490,40.260
30 Jun 2020,41.060,41.44,42.110,42.050,39.430
29 Jun 2020,39.610,40.22,40.980,40.530,37.820
26 Jun 2020,41.040,41.49,42.490,42.020,39.050
25 Jun 2020,39.790,40.07,41.290,40.520,37.720
24 Jun 2020,41.780,42.23,42.990,42.360,39.850
23 Jun 2020,42.780,43.48,44.070,43.460,41.100
22 Jun 2020,41.600,42.22,43.000,42.190,39.670
19 Jun 2020,42.040,42.76,43.820,43.360,40.120
18 Jun 2020,40.000,40.80,42.140,40.890,37.880
17 Jun 2020,40.730,41.41,42.350,41.250,38.690
16 Jun 2020,39.610,40.18,41.060,39.980,37.460
15 Jun 2020,38.430,38.11,39.040,38.240,35.300
12 Jun 2020,38.680,38.13,39.110,38.480,35.840
11 Jun 2020,40.820,40.41,41.300,40.780,38.220
10 Jun 2020,41.020,40.44,41.580,41.040,38.090
09 Jun 2020,40.860,40.35,41.360,40.360,37.510
08 Jun 2020,43.210,42.84,43.790,43.030,39.920
05 Jun 2020,35.630,40.63,41.490,40.250,37.810
04 Jun 2020,34.220,39.42,39.960,38.630,36.730
03 Jun 2020,35.040,40.13,40.850,39.640,37.530
02 Jun 2020,34.150,39.18,40.390,38.850,36.110
01 Jun 2020,33.100,37.75,39.620,37.770,35.280
29 May 2020,32.050,34.59,35.090,34.000,32.820
28 May 2020,31.170,33.72,35.490,33.400,31.700
27 May 2020,32.520,35.52,36.970,34.140,33.800
26 May 2020,33.290,36.09,37.700,34.680,34.140
22 May 2020,31.360,34.03,35.660,32.480,31.640
21 May 2020,33.080,36.05,37.610,34.500,33.890
20 May 2020,31.340,34.69,36.110,33.220,31.860
19 May 2020,31.740,34.99,36.060,34.040,32.400
18 May 2020,30.670,33.81,35.460,32.930,31.040
15 May 2020,29.180,32.15,34.950,31.980,28.420
14 May 2020,28.020,29.99,33.920,30.070,26.080
13 May 2020,26.010,29.21,32.420,26.980,25.430
12 May 2020,26.720,29.99,31.490,27.150,24.810
11 May 2020,27.040,29.94,31.160,28.060,23.910
08 May 2020,24.320,29.87,30.730,28.210,24.120
07 May 2020,,29.60,,,#N/A
06 May 2020,25.570,31.52,31.880,29.470,25.110
05 May 2020,23.690,29.24,30.050,27.680,22.410
04 May 2020,21.000,25.60,28.270,24.710,18.190
01 May 2020,,26.08,,,#N/A
30 Apr 2020,20.190,24.44,26.610,19.750,17.200
